Gene	Transcript	Chrom	Start	End	Strand	ExonCount
CCDC27	NM_152492	chr1	3669014	3688209	+	12
SMIM1	NM_001288583	chr1	3689313	3692520	+	4
LRRC47	NM_020710	chr1	3695123	3713062	-	7
CEP104	NM_014704	chr1	3728650	3773775	-	22
DFFB	NM_004402	chr1	3774040	3801993	+	7
C1orf174	NM_207356	chr1	3805697	3816836	-	4
AJAP1	NM_018836	chr1	4714669	4852594	+	6
NPHP4	NM_015102	chr1	5922871	6052485	-	30
KCNAB2	NM_001199862	chr1	6105948	6161240	+	16
CHD5	NM_015557	chr1	6161847	6240381	-	42
RPL22	NM_000983	chr1	6245080	6259655	-	4
RNF207	NM_207396	chr1	6266179	6281359	+	18
ICMT	NM_012405	chr1	6281253	6296024	-	5
HES3	NM_001024598	chr1	6304239	6305638	+	4
GPR153	NM_207370	chr1	6307413	6321158	-	6
ACOT7	NM_007274	chr1	6324332	6453827	-	9
HES2	NM_019089	chr1	6475292	6479979	-	4
ESPN	NM_031475	chr1	6484836	6521004	+	13
TNFRSF25	NM_003790	chr1	6520846	6526233	-	10
PLEKHG5	NM_020631	chr1	6527182	6551727	-	21
NOL9	NM_024654	chr1	6581407	6614573	-	12
TAS1R1	NM_138697	chr1	6615367	6639815	+	6
ZBTB48	NM_005341	chr1	6640054	6649340	+	11
KLHL21	NM_014851	chr1	6650784	6662929	-	4
PHF13	NM_153812	chr1	6673791	6684090	+	4
THAP3	NM_001195753	chr1	6684928	6693622	+	6
DNAJC11	NM_018198	chr1	6694230	6761876	-	16
CAMTA1	NM_015215	chr1	6845514	7829766	+	23
VAMP3	NM_004781	chr1	7831356	7841492	+	5
PER3	NM_001377275	chr1	7844351	7905237	+	22
UTS2	NM_006786	chr1	7907672	7913125	-	4
TNFRSF9	NM_001561	chr1	7975931	8000899	-	8
PARK7	NM_007262	chr1	8021771	8045565	+	7
ERRFI1	NM_018948	chr1	8071787	8086369	-	4
SLC45A1	NM_001080397	chr1	8378174	8404225	+	9
RERE	NM_001042681	chr1	8412464	8877699	-	23
ENO1	NM_001428	chr1	8921059	8938745	-	12
CA6	NM_001215	chr1	9005927	9035151	+	8
SLC2A7	NM_207420	chr1	9063032	9086482	-	12
SLC2A5	NM_003039	chr1	9095165	9129694	-	12
GPR157	NM_024980	chr1	9160364	9189161	-	4
H6PD	NM_004285	chr1	9294833	9331396	+	5
SPSB1	NM_025106	chr1	9352953	9429591	+	3
SLC25A33	NM_032315	chr1	9599524	9645231	+	7
TMEM201	NM_001130924	chr1	9648969	9674935	+	11
PIK3CD	NM_005026	chr1	9711789	9789172	+	24
CLSTN1	NM_001009566	chr1	9788984	9884023	-	19
CTNNBIP1	NM_020248	chr1	9908334	9970327	-	6
LZIC	NM_032368	chr1	9986351	10003449	-	8
NMNAT1	NM_022787	chr1	10003533	10045556	+	5
RBP7	NM_052960	chr1	10057286	10076079	+	4
UBE4B	NM_001105562	chr1	10093016	10241297	+	28
KIF1B	NM_001365951	chr1	10270628	10441661	+	49
PGD	NM_002631	chr1	10459121	10480568	+	13
CENPS	NM_199294	chr1	10490490	10502865	+	5
CORT	NM_001302	chr1	10510088	10512055	+	2
DFFA	NM_004401	chr1	10516579	10532586	-	6
PEX14	NM_004565	chr1	10535007	10690815	+	9
CASZ1	NM_001079843	chr1	10696661	10856703	-	21
C1orf127	NM_001170754	chr1	11006530	11042094	-	13
TARDBP	NM_007375	chr1	11072711	11085549	+	6
MASP2	NM_006610	chr1	11086580	11107296	-	11
SRM	NM_003132	chr1	11114646	11120075	-	8
EXOSC10	NM_001001998	chr1	11126675	11159926	-	25
MTOR	NM_004958	chr1	11166592	11322608	-	58
ANGPTL7	NM_021146	chr1	11249412	11256038	+	5
UBIAD1	NM_013319	chr1	11333255	11348491	+	2
DISP3	NM_020780	chr1	11539212	11597608	+	21
FBXO2	NM_012168	chr1	11708444	11714486	-	6
FBXO44	NM_033182	chr1	11714934	11723384	+	6
FBXO6	NM_018438	chr1	11724257	11734411	+	6
MAD2L2	NM_006341	chr1	11734537	11741205	-	9
DRAXIN	NM_198545	chr1	11751767	11785914	+	7
AGTRAP	NM_020350	chr1	11796193	11810826	+	5
C1orf167	NM_001010881	chr1	11822250	11849642	+	21
MTHFR	NM_005957	chr1	11845780	11866021	-	12
CLCN6	NM_001286	chr1	11866248	11903187	+	23
NPPA	NM_006172	chr1	11905766	11907840	-	3
NPPB	NM_002521	chr1	11917521	11919002	-	3
KIAA2013	NM_138346	chr1	11979648	11986484	-	3
PLOD1	NM_000302	chr1	11994774	12035594	+	19
MFN2	NM_014874	chr1	12040501	12073565	+	19
MIIP	NM_021933	chr1	12079555	12092102	+	10
TNFRSF8	NM_001243	chr1	12123360	12204264	+	15
TNFRSF1B	NM_001066	chr1	12227048	12269277	+	10
VPS13D	NM_015378	chr1	12290087	12572099	+	70
DHRS3	NM_004753	chr1	12627939	12678216	-	6
AADACL4	NM_001013630	chr1	12704104	12727087	+	4
AADACL3	NM_001103170	chr1	12776113	12788727	+	4
PRAMEF12	NM_001080830	chr1	12833881	12838049	+	3
PRAMEF1	NM_023013	chr1	12851546	12856777	+	4
PRAMEF11	NM_001146344	chr1	12884463	12891264	-	5
HNRNPCL1	NM_001013631	chr1	12907230	12908573	-	2
PRAMEF2	NM_023014	chr1	12916941	12921764	+	4
PRAMEF4	NM_001009611	chr1	12939033	12946025	-	4
PRAMEF10	NM_001039361	chr1	12952727	12958101	-	4
PRAMEF7	NM_001012277	chr1	12976467	12980300	+	4
PRAMEF6	NM_001010889	chr1	12998302	13007406	-	4
PRAMEF18	NM_001099850	chr1	13035499	13039011	+	3
HNRNPCL2	NM_001136561	chr1	13182960	13184326	-	2
PRAMEF25	NM_001310134	chr1	13216202	13219583	-	2
PRAMEF5	NM_001013407	chr1	13359818	13369057	+	4
PRAMEF33	NM_001291381	chr1	13409135	13414502	+	4
PRAMEF27	NM_001300891	chr1	13421092	13428191	+	4
PRAMEF13	NM_001291380	chr1	13447414	13452656	-	4
PRAMEF8	NM_001012276	chr1	13607700	13611533	-	4
PRAMEF15	NM_001098376	chr1	13641973	13648990	+	4
PRAMEF14	NM_001024661	chr1	13668269	13673511	-	4
PRAMEF19	NM_001099790	chr1	13694899	13698927	-	3
PRAMEF17	NM_001099851	chr1	13716092	13719089	+	3
PRAMEF20	NM_001099852	chr1	13736907	13747803	+	4
LRRC38	NM_001010847	chr1	13801441	13840498	-	2
PDPN	NM_006474	chr1	13910327	13944452	+	6
KAZN	NM_201628	chr1	14925181	15444539	+	15
TMEM51	NM_001136218	chr1	15480243	15546974	+	4
EFHD2	NM_024329	chr1	15736384	15756835	+	4
CTRC	NM_007272	chr1	15764939	15775737	+	8
CELA2A	NM_033440	chr1	15783227	15798586	+	8
CELA2B	NM_015849	chr1	15802599	15817890	+	8
CASP9	NM_001229	chr1	15817896	15850710	-	9
DNAJC16	NM_015291	chr1	15853343	15898228	+	15
AGMAT	NM_024758	chr1	15898194	15911546	-	7
DDI2	NM_032341	chr1	15943953	15995539	+	10
RSC1A1	NM_006511	chr1	15986208	15988528	+	1
PLEKHM2	NM_015164	chr1	16010815	16061264	+	20
SLC25A34	NM_207348	chr1	16062753	16067887	+	5
TMEM82	NM_001013641	chr1	16068994	16074477	+	6
FBLIM1	NM_017556	chr1	16085290	16113084	+	9
UQCRHL	NM_001089591	chr1	16133657	16134194	-	1
SPEN	NM_015001	chr1	16174202	16266951	+	15
ZBTB17	NM_003443	chr1	16268364	16302596	-	16
SRARP	NM_178840	chr1	16330731	16335302	+	2
HSPB7	NM_014424	chr1	16340524	16344538	-	3
CLCNKA	NM_004070	chr1	16348531	16360545	+	20
CLCNKB	NM_000085	chr1	16370277	16383803	+	20
FAM131C	NM_182623	chr1	16384264	16400146	-	7
EPHA2	NM_004431	chr1	16450832	16482564	-	17
ARHGEF19	NM_153213	chr1	16524349	16539147	-	16
CPLANE2	NM_030907	chr1	16558187	16563678	-	5
FBXO42	NM_018994	chr1	16573335	16678975	-	10
SZRD1	NM_001114600	chr1	16693737	16724640	+	4
SPATA21	NM_198546	chr1	16725138	16763919	-	13
NECAP2	NM_018090	chr1	16767219	16786573	+	8
CROCC	NM_014675	chr1	17248426	17299459	+	37
MFAP2	NM_002403	chr1	17300997	17307115	-	9
ATP13A2	NM_022089	chr1	17312453	17338423	-	29
SDHB	NM_003000	chr1	17345217	17380527	-	8
PADI2	NM_007365	chr1	17393256	17445946	-	16
PADI1	NM_013358	chr1	17531623	17572502	+	16
PADI3	NM_016233	chr1	17575593	17610728	+	16
PADI4	NM_012387	chr1	17634692	17690499	+	16
PADI6	NM_207421	chr1	17698691	17728195	+	17
RCC2	NM_018715	chr1	17733256	17766173	-	13
ARHGEF10L	NM_018125	chr1	17866193	18024364	+	29
ACTL8	NM_030812	chr1	18081828	18153558	+	3
IGSF21	NM_032880	chr1	18434292	18704977	+	10
KLHDC7A	NM_152375	chr1	18807424	18812468	+	1
PAX7	NM_001135254	chr1	18957340	19075360	+	9
TAS1R2	NM_152232	chr1	19166093	19186154	-	6
ALDH4A1	NM_003748	chr1	19197924	19229049	-	15
IFFO2	NM_001136265	chr1	19230774	19283170	-	9
UBR4	NM_020765	chr1	19401004	19536760	-	106
EMC1	NM_015047	chr1	19542154	19578018	-	23
MRTO4	NM_016183	chr1	19578299	19586622	+	8
AKR7A3	NM_012067	chr1	19609067	19615264	-	7
AKR7A2	NM_003689	chr1	19630459	19638638	-	7
SLC66A1	NM_001040125	chr1	19638820	19655794	+	8
CAPZB	NM_004930	chr1	19665269	19812033	-	9
MICOS10	NM_001032363	chr1	19923473	19956314	+	4
NBL1	NM_005380	chr1	19970805	19984945	+	4
HTR6	NM_000871	chr1	19991368	20007459	+	3
TMCO4	NM_181719	chr1	20008733	20126409	-	16
RNF186	NM_019062	chr1	20140522	20141776	-	1
OTUD3	NM_015207	chr1	20208888	20239438	+	8
PLA2G2E	NM_014589	chr1	20246502	20250110	-	4
PLA2G5	NM_000929	chr1	20396687	20418404	+	5
PLA2G2D	NM_012400	chr1	20438432	20446029	-	4
PLA2G2F	NM_022819	chr1	20465816	20476874	+	5
PLA2G2C	NM_001367969	chr1	20489548	20513011	-	5
UBXN10	NM_152376	chr1	20512589	20522543	+	2
VWA5B1	NM_001039500	chr1	20617368	20686011	+	22
CAMK2N1	NM_018584	chr1	20808884	20812703	-	2
MUL1	NM_024544	chr1	20825941	20834644	-	4
FAM43B	NM_207334	chr1	20879066	20881513	+	1
CDA	NM_001785	chr1	20915590	20945396	+	4
PINK1	NM_032409	chr1	20959951	20978004	+	8
DDOST	NM_005216	chr1	20978270	20987862	-	11
KIF17	NM_001122819	chr1	20990507	21044500	-	15
SH2D5	NM_001103161	chr1	21046224	21059196	-	10
HP1BP3	NM_001372052	chr1	21066759	21113800	-	13
ECE1	NM_001397	chr1	21543743	21616956	-	19
NBPF3	NM_032264	chr1	21766630	21811393	+	15
ALPL	NM_000478	chr1	21835916	21904903	+	12
RAP1GAP	NM_002885	chr1	21922714	21995850	-	25
USP48	NM_032236	chr1	22004791	22109642	-	27
LDLRAD2	NM_001013693	chr1	22138758	22151718	+	5
HSPG2	NM_005529	chr1	22148737	22263803	-	97
CELA3B	NM_007352	chr1	22303515	22315847	+	8
CELA3A	NM_005747	chr1	22328150	22339035	+	8
CDC42	NM_001791	chr1	22379202	22427853	+	6
WNT4	NM_030761	chr1	22443806	22469590	-	5
ZBTB40	NM_014870	chr1	22778344	22857647	+	18
EPHA8	NM_020526	chr1	22889982	22930088	+	17
C1QA	NM_015991	chr1	22963121	22966171	+	3
C1QC	NM_172369	chr1	22970126	22974601	+	3
C1QB	NM_001378156	chr1	22979729	22988130	+	3
EPHB2	NM_017449	chr1	23037332	23247993	+	16
LACTBL1	NM_001289974	chr1	23279536	23299359	-	8
TEX46	NM_001242521	chr1	23337327	23342345	-	3
KDM1A	NM_001009999	chr1	23345961	23410182	+	21
HTR1D	NM_000864	chr1	23518388	23543995	-	2
HNRNPR	NM_005826	chr1	23631181	23670777	-	11
ZNF436	NM_001077195	chr1	23685941	23696329	-	4
TCEA3	NM_003196	chr1	23707402	23751241	-	11
ASAP3	NM_017707	chr1	23755056	23810672	-	25
E2F2	NM_004091	chr1	23832930	23857725	-	7
ID3	NM_002167	chr1	23884417	23885992	-	3
RPL11	NM_000975	chr1	24018296	24023325	+	6
ELOA	NM_003198	chr1	24069856	24088549	+	11
PITHD1	NM_020362	chr1	24104908	24114722	+	6
LYPLA2	NM_007260	chr1	24117635	24122029	+	10
GALE	NM_001008216	chr1	24122089	24127244	-	12
HMGCL	NM_000191	chr1	24128375	24151919	-	9
FUCA1	NM_000147	chr1	24171567	24194780	-	8
CNR2	NM_001841	chr1	24197005	24239852	-	2
PNRC2	NM_017761	chr1	24286318	24289952	+	3
SRSF10	NM_054016	chr1	24290837	24306817	-	6
MYOM3	NM_152372	chr1	24382531	24438625	-	37
IL22RA1	NM_021258	chr1	24446261	24469630	-	7
IFNLR1	NM_170743	chr1	24480658	24513779	-	7
GRHL3	NM_198173	chr1	24645847	24681808	+	16
STPG1	NM_001199013	chr1	24683489	24740272	-	9
NIPAL3	NM_020448	chr1	24742292	24799466	+	12
RCAN3	NM_013441	chr1	24829326	24867530	+	5
NCMAP	NM_001010980	chr1	24882578	24935819	+	4
SRRM1	NM_005839	chr1	24969793	24999772	+	17
CLIC4	NM_013943	chr1	25071938	25170812	+	6
RUNX3	NM_004350	chr1	25226002	25256767	-	5
SYF2	NM_015484	chr1	25548767	25558993	-	7
RSRP1	NM_020317	chr1	25568740	25573945	-	5
RHD	NM_016124	chr1	25598977	25656936	+	10
TMEM50A	NM_014313	chr1	25664825	25688852	+	7
RHCE	NM_020485	chr1	25688740	25747426	-	10
MACO1	NM_018202	chr1	25757388	25826700	+	11
LDLRAP1	NM_015627	chr1	25870097	25895377	+	9
MAN1C1	NM_020379	chr1	25943282	26110941	+	12
SELENON	NM_020451	chr1	26126684	26144712	+	13
MTFR1L	NM_001099625	chr1	26146445	26159429	+	7
AUNIP	NM_024037	chr1	26160497	26185948	-	3
PAQR7	NM_178422	chr1	26187975	26202199	-	3
STMN1	NM_005563	chr1	26226607	26232910	-	5
PAFAH2	NM_000437	chr1	26286258	26324554	-	11
EXTL1	NM_004455	chr1	26348266	26362955	+	11
SLC30A2	NM_001004434	chr1	26363743	26372609	-	8
TRIM63	NM_032588	chr1	26377792	26394121	-	9
PDIK1L	NM_152835	chr1	26438315	26452046	+	3
FAM110D	NM_024869	chr1	26485570	26490453	+	2
C1orf232	NM_001364669	chr1	26490592	26495454	-	4
ZNF593	NM_015871	chr1	26496399	26497364	+	3
CNKSR1	NM_006314	chr1	26503982	26516375	+	21
CATSPER4	NM_198137	chr1	26517093	26529455	+	10
CEP85	NM_001319944	chr1	26560691	26605299	+	14
SH3BGRL3	NM_031286	chr1	26606577	26608013	+	3
CD52	NM_001803	chr1	26644449	26647014	+	2
CRYBG2	NM_001039775	chr1	26648356	26680621	-	20
ZNF683	NM_001114759	chr1	26688125	26699241	-	6
LIN28A	NM_024674	chr1	26737308	26756219	+	4
DHDDS	NM_205861	chr1	26758812	26797797	+	9
HMGN2	NM_005517	chr1	26798931	26803133	+	6
RPS6KA1	NM_002953	chr1	26856252	26901516	+	22
ARID1A	NM_006015	chr1	27022506	27108595	+	20
PIGV	NM_017837	chr1	27114441	27127150	+	4
ZDHHC18	NM_032283	chr1	27153179	27184095	+	8
SFN	NM_006142	chr1	27189640	27190947	+	1
GPN2	NM_018066	chr1	27202623	27216774	-	5
GPATCH3	NM_022078	chr1	27216979	27226958	-	7
NR0B2	NM_021969	chr1	27237980	27240466	-	2
NUDC	NM_006600	chr1	27248234	27273362	+	9
KDF1	NM_152365	chr1	27276053	27286959	-	4
TRNP1	NM_001013642	chr1	27320183	27327377	+	2
TENT5B	NM_052943	chr1	27331511	27339341	-	2
SLC9A1	NM_003047	chr1	27425300	27481616	-	12
WDTC1	NM_001276252	chr1	27561123	27635127	+	16
TMEM222	NM_032125	chr1	27648654	27662891	+	6
SYTL1	NM_001193308	chr1	27668513	27680423	+	15
MAP3K6	NM_004672	chr1	27681675	27693452	-	29
FCN3	NM_003665	chr1	27695601	27701315	-	8
CD164L2	NM_001330448	chr1	27705666	27709823	-	6
GPR3	NM_005281	chr1	27719126	27722318	+	2
WASF2	NM_006990	chr1	27730734	27816678	-	9
AHDC1	NM_001371928	chr1	27860756	27930655	-	9
FGR	NM_005248	chr1	27938575	27961696	-	13
IFI6	NM_002038	chr1	27992575	27998703	-	5
FAM76A	NM_152660	chr1	28052472	28089627	+	9
STX12	NM_177424	chr1	28099730	28150954	+	9
PPP1R8	NM_014110	chr1	28157293	28178187	+	7
THEMIS2	NM_001105556	chr1	28199055	28213186	+	6
RPA2	NM_002946	chr1	28218035	28241086	-	9
SMPDL3B	NM_014474	chr1	28261511	28285663	+	8
XKR8	NM_018053	chr1	28286484	28294604	+	3
EYA3	NM_001990	chr1	28296855	28415121	-	18
PTAFR	NM_000952	chr1	28473677	28503201	-	2
DNAJC8	NM_014280	chr1	28526789	28559540	-	9
ATP5IF1	NM_016311	chr1	28562635	28564611	+	3
SESN2	NM_031459	chr1	28586029	28609002	+	10
MED18	NM_017638	chr1	28655551	28662476	+	3
PHACTR4	NM_001048183	chr1	28696251	28826876	+	14
RCC1	NM_001381865	chr1	28832555	28865501	+	13
TRNAU1AP	NM_017846	chr1	28879597	28905057	+	9
RAB42	NM_001193532	chr1	28918777	28921961	+	2
TAF12	NM_005644	chr1	28929362	28969579	-	6
GMEB1	NM_001319674	chr1	28995296	29045865	+	10
YTHDF2	NM_016258	chr1	29063452	29096287	+	5
OPRD1	NM_000911	chr1	29138682	29197779	+	3
EPB41	NM_001376013	chr1	29241081	29446553	+	21
TMEM200B	NM_001003682	chr1	29445941	29450415	-	2
SRSF4	NM_005626	chr1	29474255	29508412	-	6
MECR	NM_016011	chr1	29519169	29557446	-	10
PTPRU	NM_133178	chr1	29563034	29653312	+	30
MATN1	NM_002379	chr1	31184124	31196432	-	8
LAPTM5	NM_006762	chr1	31205316	31230621	-	8
SDC3	NM_014654	chr1	31342313	31381605	-	5
PUM1	NM_001020658	chr1	31404353	31538564	-	22
NKAIN1	NM_024522	chr1	31652592	31712734	-	7
SNRNP40	NM_004814	chr1	31732415	31769635	-	10
ZCCHC17	NM_016505	chr1	31769879	31837783	+	8
FABP3	NM_004102	chr1	31838100	31845923	-	4
SERINC2	NM_178865	chr1	31886060	31907525	+	10
TINAGL1	NM_022164	chr1	32042116	32053287	+	12
HCRTR1	NM_001525	chr1	32083290	32093214	+	9
PEF1	NM_012392	chr1	32095467	32110477	-	5
COL16A1	NM_001856	chr1	32117864	32169618	-	71
ADGRB2	NM_001364857	chr1	32192718	32229941	-	33
SPOCD1	NM_144569	chr1	32256023	32281652	-	16
PTP4A2	NM_080391	chr1	32372022	32403969	-	6
KHDRBS1	NM_006559	chr1	32479469	32509478	+	9
TMEM39B	NM_018056	chr1	32538540	32568464	+	9
KPNA6	NM_012316	chr1	32573657	32642164	+	14
TXLNA	NM_175852	chr1	32645276	32663886	+	11
CCDC28B	NM_024296	chr1	32666196	32670988	+	6
IQCC	NM_018134	chr1	32671272	32674283	+	5
DCDC2B	NM_001099434	chr1	32674690	32681793	+	9
TMEM234	NM_019118	chr1	32681801	32687954	-	5
EIF3I	NM_003757	chr1	32687185	32697205	+	12
FAM167B	NM_032648	chr1	32712823	32714457	+	2
LCK	NM_005356	chr1	32716866	32751766	+	13
HDAC1	NM_004964	chr1	32757684	32799227	+	14
MARCKSL1	NM_023009	chr1	32799440	32801834	-	2
FAM229A	NM_001167676	chr1	32826871	32827844	-	3
TSSK3	NM_052841	chr1	32828140	32829913	+	2
BSDC1	NM_018045	chr1	32830234	32860042	-	11
ZBTB8B	NM_001145720	chr1	32930673	32962287	+	4
ZBTB8A	NM_001040441	chr1	33005028	33071542	+	5
ZBTB8OS	NM_178547	chr1	33086421	33116533	-	7
RBBP4	NM_005610	chr1	33116809	33151812	+	12
SYNC	NM_030786	chr1	33145507	33168371	-	5
YARS1	NM_003680	chr1	33240840	33282959	-	13
S100PBP	NM_022753	chr1	33283254	33324476	+	7
FNDC5	NM_153756	chr1	33327869	33336513	-	6
HPCA	NM_002143	chr1	33352092	33360247	+	4
TMEM54	NM_033504	chr1	33360196	33366990	-	6
RNF19B	NM_001300826	chr1	33402050	33430410	-	9
AK2	NM_001625	chr1	33473587	33502484	-	6
AZIN2	NM_052998	chr1	33546754	33589093	+	12
TRIM62	NM_018207	chr1	33611000	33647644	-	5
ZNF362	NM_152493	chr1	33722093	33766320	+	9
A3GALT2	NM_001080438	chr1	33772367	33786699	-	5
PHC2	NM_001385109	chr1	33789227	33896696	-	15
ZSCAN20	NM_001377376	chr1	33938246	33967243	+	8
CSMD2	NM_001281956	chr1	33979598	34630831	-	71
HMGB4	NM_001379301	chr1	34329680	34330392	+	1
C1orf94	NM_001134734	chr1	34642508	34684732	+	7
GJB5	NM_005268	chr1	35220648	35224113	+	2
GJB4	NM_153212	chr1	35225341	35227928	+	2
GJB3	NM_024009	chr1	35246815	35251965	+	2
GJA4	NM_002060	chr1	35258600	35261348	+	2
SMIM12	NM_138428	chr1	35315963	35325350	-	2
DLGAP3	NM_001080418	chr1	35331037	35395251	-	12
TMEM35B	NM_001195156	chr1	35447127	35450948	-	3
ZMYM6	NM_007167	chr1	35451766	35497546	-	16
ZMYM1	NM_024772	chr1	35544986	35581460	+	10
SFPQ	NM_005066	chr1	35648537	35658746	-	10
ZMYM4	NM_005095	chr1	35734310	35887659	+	30
KIAA0319L	NM_024874	chr1	35899093	36023004	-	21
NCDN	NM_014284	chr1	36023400	36032380	+	7
TFAP2E	NM_178548	chr1	36038915	36060929	+	7
PSMB2	NM_002794	chr1	36065142	36107127	-	6
C1orf216	NM_152374	chr1	36179478	36184485	-	2
CLSPN	NM_022111	chr1	36197713	36235579	-	25
AGO4	NM_017629	chr1	36273617	36323491	+	18
AGO1	NM_012199	chr1	36348810	36396133	+	19
AGO3	NM_024852	chr1	36396706	36538101	+	19
TEKT2	NM_014466	chr1	36549695	36553876	+	10
ADPRS	NM_017825	chr1	36554493	36559533	+	6
COL8A2	NM_005202	chr1	36560840	36590823	-	4
TRAPPC3	NM_014408	chr1	36602173	36615087	-	5
THRAP3	NM_005119	chr1	36690044	36770958	+	12
SH3D21	NM_001162530	chr1	36771969	36786948	+	16
EVA1B	NM_001304762	chr1	36787631	36789246	-	3
STK40	NM_001282547	chr1	36805229	36851525	-	11
LSM10	NM_032881	chr1	36859037	36863509	-	2
OSCP1	NM_145047	chr1	36883507	36916052	-	10
MRPS15	NM_031280	chr1	36921319	36929985	-	8
CSF3R	NM_000760	chr1	36931644	36948514	-	17
GRIK3	NM_000831	chr1	37261128	37500116	-	16
ZC3H12A	NM_025079	chr1	37940181	37949978	+	6
MEAF6	NM_001270875	chr1	37955594	37980367	-	7
SNIP1	NM_024700	chr1	38000050	38019894	-	4
DNALI1	NM_003462	chr1	38022541	38032458	+	6
GNL2	NM_013285	chr1	38032417	38061538	-	16
RSPO1	NM_001242908	chr1	38076951	38100564	-	8
CDCA8	NM_001256875	chr1	38158188	38175391	+	10
EPHA10	NM_001099439	chr1	38181648	38230792	-	17
MANEAL	NM_001113482	chr1	38259519	38266805	+	4
YRDC	NM_024640	chr1	38268617	38273880	-	5
C1orf122	NM_198446	chr1	38273462	38275126	+	3
MTF1	NM_005955	chr1	38275246	38325264	-	11
INPP5B	NM_005540	chr1	38326369	38412725	-	24
SF3A3	NM_006802	chr1	38422647	38455694	-	17
FHL3	NM_004468	chr1	38462442	38471186	-	6
UTP11	NM_016037	chr1	38478406	38490492	+	8
POU3F1	NM_002699	chr1	38509501	38512465	-	1
